id	n	tau	factorization
28642	9491143200	1296	2^5*3^1*5^2*7^2*11^2*23^1*29^1
28643	9491526000	960	2^4*3^3*5^3*11^1*19^1*29^2
28644	9491587560	1536	2^3*3^3*5^1*7^1*13^2*17^1*19^1*23^1
28645	9491985360	1080	2^4*3^2*5^1*11^2*13^1*17^2*29^1
28646	9492401520	900	2^4*3^2*5^1*7^4*17^2*19^1
28647	9492479040	896	2^6*3^1*5^1*11^3*17^1*19^1*23^1
28648	9492747264	880	2^10*3^3*7^4*11^1*13^1
28649	9493848000	1680	2^6*3^4*5^3*7^2*13^1*23^1
28650	9494029440	1152	2^7*3^8*5^1*7^1*17^1*19^1
28651	9494065350	864	2^1*3^3*5^2*7^1*11^2*19^2*23^1
28652	9494284800	1440	2^9*3^1*5^2*7^1*11^1*13^2*19^1
28653	9494553600	891	2^10*3^2*5^2*7^2*29^2
28654	9494690400	972	2^5*3^5*5^2*13^2*17^2
28655	9494816760	864	2^3*3^8*5^1*11^2*13^1*23^1
28656	9495832500	1080	2^2*3^5*5^4*7^2*11^1*29^1
28657	9495889920	1152	2^11*3^2*5^1*11^1*17^1*19^1*29^1
28658	9496200000	1008	2^6*3^1*5^5*7^2*17^1*19^1
28659	9496599840	1536	2^5*3^3*5^1*7^3*13^1*17^1*29^1
28660	9496608000	864	2^8*3^1*5^3*11^1*17^1*23^2
28661	9496987500	864	2^2*3^1*5^5*7^1*11^2*13^1*23^1
28662	9497093760	1536	2^7*3^2*5^1*7^3*11^1*19^1*23^1
28663	9497169000	1152	2^3*3^5*5^3*11^2*17^1*19^1
28664	9497476800	1260	2^6*3^4*5^2*7^1*19^2*29^1
28665	9497499480	1008	2^3*3^6*5^1*7^2*17^2*23^1
28666	9497936448	1344	2^6*3^3*7^1*11^1*13^1*17^2*19^1
28667	9498138000	960	2^4*3^1*5^3*13^2*17^1*19^1*29^1
28668	9498195000	960	2^3*3^3*5^4*7^1*19^1*23^2
28669	9499523670	864	2^1*3^5*5^1*7^2*13^1*17^1*19^2
28670	9500198400	1800	2^9*3^4*5^2*7^2*11^1*17^1
28671	9500400000	1152	2^7*3^2*5^5*7^1*13^1*29^1
28672	9500531040	960	2^5*3^3*5^1*7^1*11^1*13^4
28673	9500948100	1296	2^2*3^2*5^2*7^2*17^1*19^1*23^1*29^1
28674	9501300000	864	2^5*3^5*5^5*17^1*23^1
28675	9501786000	1120	2^4*3^6*5^3*7^3*19^1
28676	9502137216	960	2^7*3^4*11^1*13^2*17^1*29^1
28677	9502194240	1176	2^6*3^6*5^1*7^1*11^1*23^2
28678	9502285320	864	2^3*3^2*5^1*11^1*17^2*19^2*23^1
28679	9502447500	1080	2^2*3^3*5^4*7^2*13^2*17^1
28680	9502631424	960	2^9*3^3*11^2*13^1*19^1*23^1
28681	9503340000	960	2^5*3^1*5^4*7^1*11^3*17^1
28682	9503341848	960	2^3*3^4*7^3*11^1*13^2*23^1
28683	9503648000	864	2^8*5^3*7^2*11^1*19^1*29^1
28684	9503725140	1008	2^2*3^6*5^1*7^1*13^2*19^1*29^1
28685	9504054000	1200	2^4*3^4*5^3*7^1*17^2*29^1
28686	9504617760	960	2^5*3^4*5^1*11^3*19^1*29^1
28687	9504768000	960	2^14*3^1*5^3*7^1*13^1*17^1
28688	9504881100	864	2^2*3^2*5^2*11^1*13^3*19^1*23^1
28689	9505150200	1152	2^3*3^3*5^2*7^1*13^1*23^1*29^2
28690	9505696200	1536	2^3*3^1*5^2*7^3*11^1*13^1*17^1*19^1
28691	9506104608	864	2^5*3^1*7^1*11^2*13^1*17^1*23^2
28692	9506574000	960	2^4*3^2*5^3*7^1*11^1*19^3
28693	9506764800	864	2^11*3^3*5^2*13^1*23^2
28694	9507326400	1344	2^6*3^7*5^2*11^1*13^1*19^1
28695	9507649536	864	2^11*3^3*7^2*11^2*29^1
28696	9507912960	864	2^8*3^1*5^1*7^2*13^3*23^1
28697	9507960000	1050	2^6*3^2*5^4*7^4*11^1
28698	9508752000	1280	2^7*3^4*5^3*11^1*23^1*29^1
28699	9508930200	1008	2^3*3^6*5^2*7^2*11^3
