category,A,M,k,E_over_C,surplus,H_ratio,budget_ratio,worst_r_over_q,theoretical_ok,actual_ok,decomp_ok,first_mismatch_x,first_mismatch_sum,first_mismatch_F,max_gap,true_ratio,C,E,V,U,budget
smooth<=100,"{14,24,30,32,33,35,36,40,44}",44,9,445.6943005181348,-4909.238095238096,3.1861888111888113,2.3575079195967628,0.0007936507936507937,False,False,False,44,9,11,62,1.2242679964198953,3.6761904761904765,1638.4571428571433,5.6988095238095235,1.48391931887786,8.666648161565243
smooth<=100,"{8,12,15}",15,3,7.216666666666668,-39.866666666666674,2.1458333333333335,1.416963307776561,0.125,False,False,False,24,4,5,12,1.45,2.0,14.433333333333335,1.8749999999999998,0.4794633077765611,2.833926615553122
smooth<=100,"{11,14,18,24}",24,4,97.85317460317462,-636.8138528138529,2.0438596491228074,1.3098926374979407,0.004329004329004329,False,False,False,24,4,5,32,1.3499999999999999,2.1818181818181817,213.49783549783552,1.8181818181818183,0.5198828772704808,2.8579475727227797
smooth<=100,"{11,32,63,80}",80,4,201.3753794266442,-2063.112265512266,1.6625,1.558344392035168,0.0021645021645021645,False,False,False,80,5,11,79,1.15625,3.4227994227994234,689.2675324675326,2.491076175286701,1.4214120551469953,5.333900285580691
smooth<=100,"{9,15,16,21,22,24}",24,6,556.6369680851064,-4344.727272727273,3.274853801169591,2.507731571262436,0.0004329004329004329,False,False,False,24,6,7,46,1.1704545454545454,2.6043290043290046,1449.6658008658012,4.673448773448773,0.9287546463307689,6.530958066110311
smooth<=100,"{22,36}",36,2,9.104166666666666,-37.03030303030303,1.9814814814814816,1.2236884610414782,0.09090909090909091,False,False,False,44,2,3,11,1.579861111111111,1.4545454545454546,13.242424242424242,0.5454545454545454,0.6172279716665297,1.7799104887876047
smooth<=100,"{14,30,33,35,36,40,48,49}",49,8,517.8840695052395,-5065.106926406927,3.0828331332533017,2.29062162296217,0.0008838383838383838,False,False,False,49,8,10,64,1.1785714285714286,3.263636363636364,1690.1852813852818,4.757196969696969,1.359279527167057,7.475756024031083
smooth<=100,"{33,35,60,81}",81,4,188.7039573820396,-1284.4502164502167,1.9753086419753083,1.5619607802488242,0.0012987012987012987,False,False,False,81,4,6,45,1.4,2.2753246753246756,429.36277056277066,2.0746753246753245,0.7396462902571045,3.553967905189533
smooth<=100,"{3,8}",8,2,2.0833333333333335,-9.333333333333336,1.5555555555555556,0.8727598566308243,0.3333333333333333,False,True,False,8,2,3,13,1.2444444444444445,2.0,4.166666666666667,0.7777777777777777,0.4838709677419355,1.7455197132616487
smooth<=100,"{6,7,8,9,10,11}",11,6,650.4910644910644,-4345.103030303031,3.6727272727272724,2.62731308605095,0.0007936507936507937,False,False,False,12,6,7,37,1.2474747474747476,2.228571428571429,1449.6658008658012,4.146428571428571,0.8543631530282019,5.855154877484975
