category,A,M,k,E_over_C,surplus,H_ratio,budget_ratio,worst_r_over_q,theoretical_ok,actual_ok,decomp_ok,first_mismatch_x,first_mismatch_sum,first_mismatch_F,max_gap,true_ratio,C,E,V,U,budget
random<=100,{2},2,1,2.0,-4.0,1.5,0.6666666666666667,1.0,False,True,True,,,,0,1.5,1.0,2.0,0.0,0.33333333333333337,0.6666666666666667
random<=100,"{61,65,68}",68,3,2884.598039215686,-13825.475498850234,2.0073529411764706,1.4086803674677064,0.00025220680958385876,False,False,False,122,3,4,13,1.8453159041394331,1.5979823455233293,4609.536740597879,1.4020176544766707,0.42451435161102,2.2510463576987108
random<=100,"{4,33,35}",35,3,122.02132796780685,-1569.8199134199137,1.56,0.9150673185541626,0.007575757575757576,False,True,False,35,6,10,60,1.1323529411764706,4.303030303030304,525.061471861472,1.6969696969696961,1.1202963520407747,3.9375624010512453
random<=100,"{14,20,27}",27,3,27.742690058479536,-132.73333333333335,2.1944444444444446,1.608038456506181,0.014285714285714285,False,False,False,28,3,4,24,1.5089285714285716,1.6285714285714288,45.18095238095239,1.721428571428571,0.4486884574407477,2.6188054863100665
random<=100,"{19,33,35,48,75,78,80,82,87,90}",90,10,93060754.59008208,-1120435200.5111268,3.2168209876543217,2.5408174335745524,3.316589567751535e-09,False,False,False,90,10,15,132,1.27725,4.013275025625078,373478402.2622008,6.986724974374922,1.605137088231318,10.196999150837557
random<=100,"{12,13,25,41,42,47,53}",53,7,10528886.202366417,-162464254.8688197,2.121212121212121,1.4310534164482707,3.801768202390932e-08,False,False,False,53,10,14,87,1.1864149305555556,5.143445656574874,54154754.00613267,4.929428837352251,1.2155583209026208,7.3605454791574925
random<=100,"{21,39,50,54,64,65,96,97}",97,8,41228.13506901974,-513216.0659793816,2.338386901152213,1.9865461714217658,3.815628815628816e-06,False,False,False,97,8,12,100,1.2184615384615383,4.149450549450551,171074.1077149655,4.883433205903443,1.6798209483057456,8.243075102514934
random<=100,"{33,42,63,70,71,83,86,91,96,97}",97,10,57737752378.62924,-586391823361.238,3.7906423473433786,2.703191386908099,2.737779919221046e-12,False,False,False,97,10,12,99,1.3015873015873018,3.3853749595327116,195463941122.3117,6.651496733588981,1.2499098492370992,9.15131643206318
random<=100,"{26,30,38,40,48,49,50,53}",53,8,485679.2302238661,-4164481.4856302286,3.20125786163522,2.60959540813541,4.819741661846925e-07,False,False,False,53,8,9,64,1.359375,2.858187226307528,1388162.1719087271,5.423757218136917,1.017477521613246,7.4587122613634085
random<=100,"{3,4,5}",5,3,9.16,-42.866666666666674,2.0571428571428574,1.4999999999999998,0.08333333333333333,False,False,False,6,3,4,14,1.2384615384615385,1.666666666666667,15.26666666666667,1.6944444444444442,0.4027777777777779,2.5
random<=100,"{10,14,22,24,25,26,29,33,34,43}",43,10,56936910.78331673,-738726912.2282627,3.068267066766692,2.3175366620038504,6.754570649093975e-09,False,False,False,43,10,15,112,1.1511565357719202,4.32482730251493,246242306.27654496,6.4668393641517365,1.7780532331309165,10.022945830413569
random<=100,"{17,65,66}",66,3,1105.6496212121212,-6144.554614013438,1.9924242424242424,1.4195201754680746,0.0009049773755656108,False,False,False,66,3,5,39,1.3138655462184874,1.8533936651583713,2049.2040038392984,1.2558500323206203,0.6875398342282046,2.6309297007770294
random<=100,"{34,42,45,46,70,78}",78,6,26143.69955791335,-319105.06267952005,1.8921624713958811,1.4187211146277603,2.4357569114602362e-05,False,False,False,90,8,9,47,1.3949579831932775,4.06868834490318,106370.56568393247,4.753947955993991,0.5091930538800129,5.772334063754016
