id	n	tau	factorization
77	2048	12	2^11
78	2178	18	2^1*3^2*11^2
79	2187	8	3^7
80	2304	27	2^8*3^2
81	2352	30	2^4*3^1*7^2
82	2401	5	7^4
83	2450	18	2^1*5^2*7^2
84	2500	15	2^2*5^4
85	2592	30	2^5*3^4
86	2700	36	2^2*3^3*5^2
87	2916	21	2^2*3^6
88	3025	9	5^2*11^2
89	3072	22	2^10*3^1
90	3136	21	2^6*7^2
91	3200	24	2^7*5^2
92	3267	12	3^3*11^2
93	3528	36	2^3*3^2*7^2
94	3600	45	2^4*3^2*5^2
95	3675	18	3^1*5^2*7^2
96	3872	18	2^5*11^2
97	3888	30	2^4*3^5
98	3969	15	3^4*7^2
99	4050	30	2^1*3^4*5^2
100	4096	13	2^12
101	4356	27	2^2*3^2*11^2
102	4608	30	2^9*3^2
103	4800	42	2^6*3^1*5^2
104	4802	10	2^1*7^4
105	4900	27	2^2*5^2*7^2
106	5000	20	2^3*5^4
107	5184	35	2^6*3^4
108	5292	36	2^2*3^3*7^2
109	5625	15	3^2*5^4
110	5808	30	2^4*3^1*11^2
111	5832	28	2^3*3^6
112	5929	9	7^2*11^2
113	6050	18	2^1*5^2*11^2
114	6075	18	3^5*5^2
115	6272	24	2^7*7^2
116	6400	27	2^8*5^2
117	6561	9	3^8
118	6912	36	2^8*3^3
119	7056	45	2^4*3^2*7^2
120	7200	54	2^5*3^2*5^2
121	7203	10	3^1*7^4
122	7500	30	2^2*3^1*5^4
123	7744	21	2^6*11^2
124	7938	30	2^1*3^4*7^2
125	8100	45	2^2*3^4*5^2
126	8192	14	2^13
127	8712	36	2^3*3^2*11^2
128	8748	24	2^2*3^7
129	9075	18	3^1*5^2*11^2
130	9216	33	2^10*3^2
131	9408	42	2^6*3^1*7^2
132	9604	15	2^2*7^4
133	9800	36	2^3*5^2*7^2
134	9801	15	3^4*11^2
135	10000	25	2^4*5^4
136	10368	40	2^7*3^4
137	10800	60	2^4*3^3*5^2
138	11025	27	3^2*5^2*7^2
139	11250	30	2^1*3^2*5^4
